PGM_SYS_ID,ENF_TYPE_DESC,PENALTY_AMOUNT,SETTLEMENT_ENTERED_DATE
SU00000008067U0035,Civil Judicial Action,657412,03/11/1997
NY0000002630700276,Bankruptcy,140625,04/20/2009
OH0000001576000301,Civil Judicial Action,3800000,08/28/2001
MN0000002716300003,Civil Judicial Action,3800000,08/28/2001
IL000031600BGU,Civil Judicial Action,435000,10/24/2002
IN0000001810700007,Civil Judicial Action,337500,07/27/2009
ND0000003807300001,Civil Judicial Action,128903,08/21/2003
ND0000003804900005,Civil Judicial Action,128903,08/21/2003
TX0000004833100001,Civil Judicial Action,1500000,07/28/2003
MA0000002511901107,RCRA 3008A AO For Comp And/Or Penalty,14400,07/17/2003
MA0000002511905717,CAA 113D1 Action For Penalty,65000,09/18/2002
MI00000000000N5778,CAA 113D1 Action For Penalty,90470,09/23/2002
OH0000000302000002,CAA 113D1 Action For Penalty,90470,09/23/2002
OH0000000387000232,CAA 113D1 Action For Penalty,90470,09/23/2002
OH0000000335010036,CAA 113D1 Action For Penalty,90470,09/23/2002
OH0000000335010058,CAA 113D1 Action For Penalty,90470,09/23/2002
LA0000002200500013,TSCA 16 Action For Penalty,1000,09/29/2003
MN0000002709700026,Civil Judicial Action,29656,03/07/2003
040000001313940008,CAA 113D1 Action For Penalty,15412,08/03/2004
LA0000002208900010,Civil Judicial Action,52083,01/16/2007
CT0000000901501124,CAA 113D1 Action For Penalty,95200,09/24/2004
NJ0000003402300053,Civil Judicial Action,850000,06/21/2012
IL000001806AAW,Civil Judicial Action,998852,09/20/2010
TX0000004803900087,Civil Judicial Action,1535800,01/26/2008
TX0000004820100055,Civil Judicial Action,1535800,01/26/2008
TX0000004835500089,Civil Judicial Action,1535800,01/26/2008
WANCA0005307300005,Civil Judicial Action,933333,12/05/2005
OH0000000243081231,CAA 113D1 Action For Penalty,20000,09/28/2004
IL000031600AXT,CAA 113D1 Action For Penalty,25600,09/25/2003
ME0000002302500007,CAA 113D1 Action For Penalty,78000,09/16/2004
MI00000000000N7112,Civil Judicial Action,72000,06/27/2007
MI00000000000B2185,CAA 113D1 Action For Penalty,61400,05/10/2004
KY0000002108900001,Civil Judicial Action,618750,01/24/2008
KY0000002116700001,Civil Judicial Action,1400000,03/18/2009
IL000183020ABT,Civil Judicial Action,364583,01/16/2007
IN0000001814500035,Civil Judicial Action,364583,01/16/2007
IL000031600BTE,Civil Judicial Action,69000,11/15/2005
OH0000001431072600,Civil Judicial Action,69000,11/15/2005
KY0000002119100002,Civil Judicial Action,100000,07/02/2008
WY0000005600700001,Civil Judicial Action,63000,06/08/2012
KY0000002104900003,Civil Judicial Action,7599951,04/12/2013
06000000482016E172,CAA 113D1 Action For Penalty,1500,06/22/2005
IN0000001808900383,CAA 113D1 Action For Penalty,70000,09/29/2005
OH0000000317010112,CAA 113D1 Action For Penalty,1500,11/16/2005
MA0000002502502119,Civil Judicial Action,650000,09/11/2009
06000000350016E051,CAA 113D1 Action For Penalty,150,09/27/2006
IL000097190AFG,Civil Judicial Action,130000,11/21/2005
VI0000007800500033,Civil Judicial Action,50000,12/21/2012
VI0000007800500033,Civil Judicial Action,100000,09/07/2013
IL000161065AGI,CAA 113D1 Action For Penalty,40000,01/03/2007
RI0000004400100030,CAA 113D1 Action For Penalty,195000,01/08/2008
OH0000001318008303,Bankruptcy,142500,07/24/2006
PA000247319,CAA 113D1 Action For Penalty,125000,12/14/2006
NY0000001472600490,Civil Judicial Action,150000,09/27/2012
OH0000000250110024,CAA 120 AO For Noncompliance Penalty,39047,03/02/1988
NY0000002600700724,Administrative Order,105000,05/29/2009
NY0000004422800056,Administrative Order,172000,10/20/2014
IL000031600ASD,CAA 113D1 Action For Penalty,25000,08/29/2002
MT0000003002900005,Civil Judicial Action,106000,10/02/1995
UT0000004901100013,Civil Judicial Action,350000,12/20/2000
TNSHL0004715700529,Civil Judicial Action,543888,08/21/2003
IN0000001812700085,Civil Judicial Action,100000,11/28/2006
IN0000001812700039,Civil Judicial Action,100000,11/28/2006
IN0000001814700050,Civil Judicial Action,100000,11/28/2006
0500039065R0001,Civil Judicial Action,880598,07/06/2004
OH0000000247030004,CERCLA 109 Action For Penalty,8436,09/08/2003
MI00000000000N7112,CAA 113D1 Action For Penalty,42000,NA
IL000161807AAA,CAA 113D1 Action For Penalty,27500,09/28/2004
RI0000004400100030,Collection Action,100000,04/14/2011
MN0000002705300900,CAA 113D1 Action For Penalty,39035,09/30/2004
SC00004200030,Civil Judicial Action,2000000,06/24/2004
NJ0000003401706103,CAA 113D1 Action For Penalty,650,09/23/2004
0400000013275EPA01,CAA 113D1 Action For Penalty,4945,10/24/2007
PR0000007205100007,Civil Judicial Action,275000,05/04/2010
IL000091804AAB,CAA 113D1 Action For Penalty,70000,04/18/2006
FL0000001203300084,CAA 113D1 Action For Penalty,9027,08/07/2007
TNSHL0004715700419,CAA 113D1 Action For Penalty,14700,07/26/2007
MN0000002711100036,CAA 113D1 Action For Penalty,15950,07/02/2008
OH0000000679010132,Civil Judicial Action,620000,02/14/2012
KY0000002112700003,Civil Judicial Action,750000,12/10/2007
0400000013031EPA01,CAA 113D1 Action For Penalty,500,10/24/2007
TX0000004816700009,CAA 113D1 Action For Penalty,46500,09/19/2007
MA0000002500901430,CAA 113D1 Action For Penalty,34692,09/29/2008
OH0000000607000229,CAA 113D1 Action For Penalty,40000,04/08/2008
CASJV00006077N0767,Administrative Order,3000,04/02/2015
0800000008031X0001,CAA 113D1 Action For Penalty,1225,03/24/2009
IA0000001919300460,Civil Judicial Action,208334,06/06/2011
0400000013205EPA01,CAA 113D1 Action For Penalty,1200,09/04/2007
MI00000000000B0965,CAA 113D1 Action For Penalty,200000,07/21/2008
OH0000001318110513,CAA 113D1 Action For Penalty,33911,09/21/2007
020000003400356439,CAA 113D1 Action For Penalty,351,04/06/2009
TNSHL0004715700045,CWA 311B6B1 AO For Class I Penalty,10600,09/14/2009
0400000012009EPA05,CAA 113D1 Action For Penalty,1382,09/03/2009
CASJV00006077N0339,Civil Judicial Action,200000,05/02/2012
TN0000004711900123,CAA 113D1 Action For Penalty,10000,10/27/2009
CO0000000806700252,CAA 113D1 Action For Penalty,175000,02/04/2010
SU00000008067U0041,CAA 113D1 Action For Penalty,175000,02/04/2010
0900000006077R9600,Civil Judicial Action,312500,08/19/2013
OH0000000819070134,Civil Judicial Action,128067,03/03/2010
IN0000001816900035,Civil Judicial Action,1601724,10/22/2009
AL0000000111700004,Civil Judicial Action,891192.31,03/18/2010
SC00009000004,Civil Judicial Action,891192.31,03/18/2010
IN0000001808500102,CAA 113D1 Action For Penalty,77628,02/24/2010
TX0000004820100018,CAA 113D1 Action For Penalty,105000,03/24/2010
WI0000005507900181,CAA 113D1 Action For Penalty,57000,07/01/2010
WI0000005504503808,CAA 113D1 Action For Penalty,51065,06/07/2010
TN0000004700300011,CAA 113D1 Action For Penalty - 112(r) Expedited Settlement Program,2835,04/15/2010
IL000163121AAK,Civil Judicial Action,250000,06/30/2010
NJ0000003402311111,Civil Judicial Action,750000,08/30/2010
WI0000005513300024,Civil Judicial Action,219000,08/02/2010
IL000031030ADO,Civil Judicial Action,219000,08/02/2010
MT0000003004300001,Civil Judicial Action,452671,08/14/2013
TNCHC0004706500850,CAA 113D1 Action For Penalty - 112(r) Expedited Settlement Program,2025,08/10/2010
CAKCA0000602900002,Civil Judicial Action,307004,11/18/2020
CO0000000805900008,Civil Judicial Action,475000,10/04/2017
TX0000004820100040,Bankruptcy,480000,04/23/2010
NC0000003709100069,Civil Judicial Action,253333.33,05/07/2010
TX0000004816700001,Civil Judicial Action,15000000,12/30/2010
TNSHL0004715700367,CAA 113D1 Action For Penalty,21350,08/30/2011
1000000002020A0003,Civil Judicial Action,20500000,07/13/2011
SU0000000806701108,Civil Judicial Action,207150,11/08/2012
MI00000000000A4033,Civil Judicial Action,2500000,11/23/2011
TX0000004820100051,CAA 113D1 Action For Penalty,30500,12/12/2011
OH0000001318202137,CAA 113D1 Action For Penalty,80000,09/30/2011
IL000097025AAR,CAA 113D1 Action For Penalty,46596,09/27/2011
OH0000000165000007,CAA 113D1 Action For Penalty,175000,09/30/2011
IN0000001812900002,Civil Judicial Action,851524,12/05/2012
WI0000005512300001,Civil Judicial Action,950000,08/27/2012
IA0000001905700025,Civil Judicial Action,1100000,09/02/2015
MI00000000000A0884,CAA 113D1 Action For Penalty,205417,05/25/2012
LA0000002200100192,CAA 113D1 Action For Penalty,30000,11/07/2012
MA0000002504200314,CAA 113D1 Action For Penalty,118600,09/14/2012
WA00000053077T0070,CAA 113D1 Action For Penalty,3500,06/19/2012
MI00000000000A0563,Civil Judicial Action,500000,12/13/2012
MI00000000000B1485,Administrative Order,30000,06/28/2018
IL00000017043U0028,CAA 113D1 Action For Penalty,15000,11/21/2012
CT00000009001E0005,CAA 113D1 Action For Penalty,35000,09/27/2012
TX0000004820100882,CAA 113D1 Action For Penalty,45000,08/07/2012
CO0000000800100674,Administrative Order,2400,12/26/2017
NJ0000003401556078,Administrative Order,12000,02/16/2018
CABAA00006013A0011,Administrative Order,4000,07/16/2014
CABAA00006013A0011,Administrative Order,9000,07/16/2014
NH0000003301590448,Administrative Order,6250,09/25/2019
TX0000004828500003,Administrative Order,41650,NA
CABAA00006013A0016,Administrative Order,6000,08/18/2016
CABAA00006013A0016,Administrative Order,5000,08/18/2016
SC00020600507,Administrative Order,14000,09/20/2019
NVCCH00032003A1538,Administrative Order,3750,09/26/2019
NVCCH00032003A0825,Administrative Order,120000,09/20/2017
CASJV00006107S1346,Administrative Order,4500,08/23/2019
CASJV00006077N0398,Administrative Order,1000,01/07/2019
TX0000004820100055,Administrative Order,13125,09/16/2020
AK0000000212200066,Civil Judicial Action,4233333.33,09/28/2016
FL0000001211300004,Administrative Order,5500,05/19/2020
CABAA00006095B2626,Administrative Order,4500,10/19/2011
NJ0000003402521473,Administrative Order,1000,11/02/2017
CABAA00006013B2758,Administrative Order,2000,12/16/2014
CABAA00006013A0010,Administrative Order,7000,09/13/2013
CABAA00006013A0010,Administrative Order,5000,01/31/2013
TX0000004835500161,Administrative Order,11408,08/16/2020
CASJV00006031C0214,Administrative Order,1200,04/11/2018
IN0000001812700076,Administrative Order,500,12/23/2019
TX0000004877702325,Administrative Order,938,11/05/2019
CABAA00006013B2758,Administrative Order,60000,12/16/2014
TX0000004835500110,Administrative Order,2663,01/28/2020
CASJV00006019C0311,Administrative Order,18750,02/25/2020
OH0000000641050002,Civil Judicial Action,8025000,12/10/2007
MN0000002706100004,Administrative Order,7500,07/23/2018
AR0000000511904599,Administrative Order,25350,07/30/2018
CASJV00006029S1372,Administrative Order,4500,02/14/2019
MN0000002712300015,Administrative Order,7520,12/04/2018
