PGM_SYS_ID,PROGRAM_CODE,PROGRAM_DESC,prg_status,AIR_OPERATING_STATUS_DESC,BEGIN_DATE,prg_updated,fac_class,fac_status,STATE,FACILITY_NAME,SIC_CODES,NAICS_CODES,updated,update_year,naics_first
OK0000004004500464,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,07/24/2018,07/24/2018,MIN,OPR,OK,PRESIDIO PETROLEUM LLC / LYTLE 3 21,1311,211130,2018-07-24,2018,211
PA000759243,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/25/2024,02/17/2026,MIN,OPR,PA,MDS GATHERING LLC/GILPIN COMP STA,4924,211111 211130,2026-02-17,2026,211
PA000770669,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/03/2025,02/17/2026,SMI,OPR,PA,PINE RUN MIDSTREAM LLC/TROUT COMP STA,1321,211111 211130,2026-02-17,2026,211
PA000767985,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/03/2025,02/17/2026,MIN,OPR,PA,PINE RUN MIDSTREAM LLC/BASS COMP STA,NA,211111 211130,2026-02-17,2026,211
PA000772528,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/26/2025,02/17/2026,MIN,OPR,PA,PEOPLES NATURAL GAS CO LLC/REDBANK COMP STA,4922,211111 211130,2026-02-17,2026,211
PA000772967,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,05/03/2023,02/26/2026,SMI,OPR,PA,NFG MIDSTREAM CLERMONT LLC/CLERMONT WEST COMP STA,NA,211111 211130,2026-02-26,2026,211
PA000693014,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/26/2025,02/17/2026,MIN,OPR,PA,DIVERSIFIED PROD LLC/BROOKVILLE SOUTH COMP STA,NA,211111 211130,2026-02-17,2026,211
OK0000004007700139,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,08/12/2020,08/24/2020,MIN,OPR,OK,MERIT ENERGY CO / ROBINSON NO 03 12 WELLSITE,1311,211130,2020-08-24,2020,211
OK0000004007300194,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,12/18/2019,12/20/2019,MIN,OPR,OK,FW MIDCON I LLC / FSB 1H 26X,1311,211130,2019-12-20,2019,211
PA000774454,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/26/2025,02/17/2026,MIN,OPR,PA,RIVERWEST APPALACHIA MIDSTREAM LLC/CLINTON COMP STA,NA,211111 211130,2026-02-17,2026,211
OK0000004009500116,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,02/02/2023,02/07/2023,MIN,OPR,OK,XTO ENERGY INC / LUNA 4 5 6 1H6 PRODUCTION SITE,1311,211120,2023-02-07,2023,211
OK0000004003900158,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,07/26/2023,08/09/2023,MIN,OPR,OK,BCE MACH LLC / MANNERING 1 15H PAD,1311,211120,2023-08-09,2023,211
PA000783898,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,09/26/2025,02/17/2026,MIN,OPR,PA,HILCORP ENERGY CO/MAHONING SIEGEL FACILITY,1311,213112,2026-02-17,2026,213
OK0000004001900265,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,12/09/2024,12/18/2024,MIN,OPR,OK,XTO ENERGY INC / GREENWAY 35 1H PRODUCTION SITE,1311,211120,2024-12-18,2024,211
OK0000004007700141,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,08/12/2020,08/24/2020,MIN,OPR,OK,MERIT ENERGY CO / NORRIS 01 12,1311,211130,2020-08-24,2020,211
OK0000004007300201,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,09/04/2020,09/22/2020,MIN,OPR,OK,FW MIDCON I LLC / RODENBURG 1H 6X,1311,211120,2020-09-22,2020,211
PA000646799,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/25/2024,02/17/2026,MIN,OPR,PA,DIVERSIFIED PROD CO LLC/STATE GAME LANDS COMP STA,4925,211111 211130,2026-02-17,2026,211
PA000702132,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/26/2025,02/17/2026,MIN,OPR,PA,SNYDER BROS INC/TRUITT COMP STA,NA,211111 211130,2026-02-17,2026,211
PA000699411,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/26/2025,02/17/2026,MIN,OPR,PA,PEOPLES NATURAL GAS CO LLC/LIMESTONE COMP STA,NA,211111 211130,2026-02-17,2026,211
PA000682463,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/26/2025,02/17/2026,MIN,OPR,PA,DIVERSIFIED PROD LLC/PINE CREEK COMP STA,NA,211111 211130,2026-02-17,2026,211
NY0000002620501771,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,08/25/2025,08/25/2025,MIN,OPR,NY,CDIL DATA CENTRE USA LLC,7374,221330,2025-08-25,2025,221
NY0000007492800064,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,04/07/2023,04/07/2023,SMI,OPR,NY,CROWN CORK & SEAL COMPANY INC,3411,332431,2023-04-07,2023,332
OK0000004004300192,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,01/18/2018,01/23/2018,SMI,OPR,OK,DIVERSIFIED PRODUCTION LLC / VIRGINIA LEE 10 19N 16W 1H,1311,211120,2018-01-23,2018,211
OK0000004007300214,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/09/2020,10/12/2020,MIN,OPR,OK,DEVON ENERGY PRODUCTION CO LP / ALMA 1H 2H,1311,211120,2020-10-12,2020,211
OK0000004001700487,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,08/24/2020,09/01/2020,MIN,OPR,OK,FW MIDCON I LLC / PAUL 1H 18X,1311,211120,2020-09-01,2020,211
OK0000004004500493,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,12/08/2021,12/14/2021,MIN,OPR,OK,BE ANADARKO II LLC / RAIDERS 27 6HR,1311,211120,2021-12-14,2021,211
OK0000004004500499,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,12/06/2023,12/15/2023,MIN,OPR,OK,BE ANADARKO II LLC / RED SOX 19 5H,1311,211120,2023-12-15,2023,211
OK0000004004500490,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,12/06/2023,12/15/2023,MIN,OPR,OK,BE ANADARKO II LLC / PACKERS 22 5H,1311,211120,2023-12-15,2023,211
OK0000004009500118,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,06/03/2024,06/05/2024,MIN,OPR,OK,XTO ENERGY INC / DAVY JONES XS 2 21H PRODUCTION SITE,1311,211130,2024-06-05,2024,211
OK0000004009500119,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,06/25/2024,07/03/2024,MIN,OPR,OK,XTO ENERGY INC / MARY READ 1 26H PRODUCTION SITE,1311,211120,2024-07-03,2024,211
PA000750760,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/26/2025,02/17/2026,MIN,OPR,PA,CNX GAS LLC/BIG RUN COMP STA,NA,211111 211130,2026-02-17,2026,211
ME000A001117,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,07/19/2024,07/19/2024,SMI,OPR,ME,"CPK MANUFACTURING, LLC",NA,326199,2024-07-19,2024,326
OK0000004001700489,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/06/2020,10/12/2020,MIN,OPR,OK,DEVON ENERGY PRODUCTION CO LP / HANSEN 14 14N 9W 1H,1311,211120,2020-10-12,2020,211
PA000778807,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,09/26/2025,02/17/2026,MIN,OPR,PA,ONEIDA VALLEY MIDSTRAM LLC/CONSTELLATION COMP STA,NA,211111 211130,2026-02-17,2026,211
OK0000004007300241,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,09/09/2020,09/22/2020,MIN,OPR,OK,FW MIDCON I LLC / JUDY 1H 17,1311,211120,2020-09-22,2020,211
PA000780397,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/26/2025,02/17/2026,MIN,OPR,PA,SNYDER BROS INC/AMBROSE COMP STA,1321,211111 211130,2026-02-17,2026,211
OK0000004001100188,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,03/16/2023,03/22/2023,MIN,OPR,OK,COTERRA ENERGY OPERATING CO / DEBO 1 14,1311,211130,2023-03-22,2023,211
OK0000004013700226,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,05/30/2023,06/01/2023,MIN,OPR,OK,CONTINENTAL RESOURCES / LOWRANCE 2 10H,1311,211120,2023-06-01,2023,211
OK0000004001100192,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,03/08/2018,03/09/2018,MIN,OPR,OK,FW MIDCON I LLC / KNAPP FAMILY 1 2H,1311,211120,2018-03-09,2018,211
OK0000004005100420,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,09/06/2018,09/07/2018,MIN,OPR,OK,CAMINO NATURAL RESOURCES LLC / HARTLEY 1 7 6XH HARTLEY 7 7 7 1HX,1311,211130,2018-09-07,2018,211
PA000803485,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,09/26/2025,02/17/2026,MIN,OPR,PA,ETC NORTHEAST PIPELINE/GALAXY COMP STA,1311,211111 211130,2026-02-17,2026,211
PA000778461,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,10/25/2024,02/17/2026,MIN,OPR,PA,DIVERSIFIED PROD/PINETON XTO COMP STA,4922,211111 211130,2026-02-17,2026,211
AR0000000577701518,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,06/14/2022,06/14/2022,SMI,OPR,AR,"KONYA SANDS, LLC.",NA,212322,2022-06-14,2022,212
OK0000004008100088,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,04/19/2018,04/26/2018,MIN,OPR,OK,TERZAN ENERGY II LLC / HUMBLE TURNER PAD,1311,211130,2018-04-26,2018,211
OK0000004008100092,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,04/19/2018,04/26/2018,MIN,OPR,OK,TERZAN ENERGY II LLC / TURNPIKE PAD,1311,211130,2018-04-26,2018,211
OK0000004008100091,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,04/19/2018,04/26/2018,MIN,OPR,OK,TERZAN ENERGY II LLC / FALCON WALLACE E WELLSTON PAD,1311,211130,2018-04-26,2018,211
OK0000004008100090,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,04/19/2018,04/26/2018,MIN,OPR,OK,TERZAN ENERGY II LLC / WESTLAKE BLAKE PAD,1311,211130,2018-04-26,2018,211
OK0000004008100089,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,04/19/2018,04/26/2018,MIN,OPR,OK,TERZAN ENERGY II LLC / COLLEEN JEWEL GARDNER PAD,1311,211130,2018-04-26,2018,211
OK0000004012100384,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,08/12/2020,08/24/2020,MIN,OPR,OK,MERIT ENERGY CO / VERNER NO 02 03H WELLSITE,1311,211130,2020-08-24,2020,211
OK0000004012100385,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,08/12/2020,08/24/2020,MIN,OPR,OK,MERIT ENERGY CO / HUNT GARRETT NO 02 34H WELLSITE,1311,211130,2020-08-24,2020,211
OK0000004001700499,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,09/06/2022,09/13/2022,MIN,OPR,OK,COTERRA ENERGY OPERATING CO / ANDERSON 1 29H,1311,211130,2022-09-13,2022,211
OK0000004007300272,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,04/04/2019,04/08/2019,MIN,OPR,OK,COTERRA ENERGY OPERATING CO / STEVE O 1H 3625X,1311,211130,2019-04-08,2019,211
OK0000004001700501,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,07/13/2023,07/19/2023,SMI,OPR,OK,COTERRA ENERGY OPERATING CO / LEON GUNDY BATTERY,1311,211130,2023-07-19,2023,211
OK0000004002900103,CAAMACT,MACT Standards (40 CFR Part 63),CLS,Permanently Closed,08/12/2020,08/24/2020,MIN,OPR,OK,MERIT ENERGY CO / PATRICIA ANN NO 01 01H WELLSITE,1311,211130,2020-08-24,2020,211
