PGM_SYS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY_NAME,STATE,AIR_POLLUTANT_CLASS_CODE,AIR_OPERATING_STATUS_CODE
VA0000005108552380,POWERSCREEN MID ATLANTIC INC - PORTABLE 52380,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552381,POWERSCREEN MID ATLANTIC INC - PORTABLE 52381,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552382,POWERSCREEN MID ATLANTIC INC - PORTABLE 52382,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552386,POWERSCREEN MID ATLANTIC INC - PORTABLE 52386,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552389,POWERSCREEN MID ATLANTIC INC - PORTABLE 52389,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552390,POWERSCREEN MID ATLANTIC INC - PORTABLE 52390,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552391,POWERSCREEN MID ATLANTIC INC - PORTABLE 52391,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552392,POWERSCREEN MID ATLANTIC INC - PORTABLE 52392,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552393,POWERSCREEN MID ATLANTIC INC - PORTABLE 52393,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552395,POWERSCREEN MID ATLANTIC INC - PORTABLE 52395,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552396,POWERSCREEN MID ATLANTIC INC - PORTABLE 52396,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552422,POWERSCREEN MID ATLANTIC INC - PORTABLE 52422,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552424,POWERSCREEN MID ATLANTIC INC - PORTABLE 52424,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552425,POWERSCREEN MID ATLANTIC INC - PORTABLE 52425,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552427,POWERSCREEN MID ATLANTIC INC - PORTABLE 52427,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552428,POWERSCREEN MID ATLANTIC INC - PORTABLE 52428,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552433,POWERSCREEN MID ATLANTIC INC - PORTABLE 52433,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552434,POWERSCREEN MID ATLANTIC INC - PORTABLE 52434,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552438,POWERSCREEN MID ATLANTIC INC - PORTABLE 52438,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552441,POWERSCREEN MID ATLANTIC INC - PORTABLE 52441,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552442,POWERSCREEN MID ATLANTIC INC - PORTABLE 52442,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552449,POWERSCREEN MID ATLANTIC INC - PORTABLE 52449,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552450,POWERSCREEN MID ATLANTIC INC - PORTABLE 52450,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552451,POWERSCREEN MID ATLANTIC INC - PORTABLE 52451,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552453,POWERSCREEN MID ATLANTIC INC - PORTABLE 52453,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552454,POWERSCREEN MID ATLANTIC INC - PORTABLE 52454,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552456,POWERSCREEN MID ATLANTIC INC - PORTABLE 52456,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552458,POWERSCREEN MID ATLANTIC INC - PORTABLE 52458,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552471,POWERSCREEN MID ATLANTIC INC - PORTABLE 52471,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552473,POWERSCREEN MID ATLANTIC INC - PORTABLE 52473,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552475,POWERSCREEN MID ATLANTIC INC - PORTABLE 52475,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552476,POWERSCREEN MID ATLANTIC INC - PORTABLE 52476,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552482,POWERSCREEN MID ATLANTIC INC - PORTABLE 52482,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552490,POWERSCREEN MID ATLANTIC INC - PORTABLE 52490,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552493,POWERSCREEN MID ATLANTIC INC - PORTABLE 52493,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552494,POWERSCREEN MID ATLANTIC INC - PORTABLE 52494,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552495,POWERSCREEN MID ATLANTIC INC - PORTABLE 52495,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552496,POWERSCREEN MID ATLANTIC INC - PORTABLE 52496,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552497,POWERSCREEN MID ATLANTIC INC - PORTABLE 52497,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108500223,POWERSCREEN MID ATLANTIC INC - PORTABLE 52498,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552499,POWERSCREEN MID ATLANTIC INC - PORTABLE 52499,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552501,POWERSCREEN MID ATLANTIC INC - PORTABLE 52501,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552502,POWERSCREEN MID ATLANTIC INC - PORTABLE 52502,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552503,POWERSCREEN MID ATLANTIC INC - PORTABLE 52503,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552504,POWERSCREEN MID ATLANTIC INC - PORTABLE 52504,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552505,POWERSCREEN MID ATLANTIC INC - PORTABLE 52505,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552506,POWERSCREEN MID ATLANTIC INC - PORTABLE 52506,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552507,POWERSCREEN MID ATLANTIC INC - PORTABLE 52507,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552509,POWERSCREEN MID ATLANTIC INC - PORTABLE 52509,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552511,POWERSCREEN MID ATLANTIC INC - PORTABLE 52511,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552512,POWERSCREEN MID ATLANTIC INC - PORTABLE 52512,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552513,POWERSCREEN MID ATLANTIC INC - PORTABLE 52513,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552514,POWERSCREEN MID ATLANTIC INC - PORTABLE 52514,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552515,POWERSCREEN MID ATLANTIC INC - PORTABLE 52515,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552518,POWERSCREEN MID ATLANTIC INC - PORTABLE 52518,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552519,POWERSCREEN MID ATLANTIC INC - PORTABLE 52519,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552530,POWERSCREEN MID ATLANTIC INC - PORTABLE 52530,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552531,POWERSCREEN MID ATLANTIC INC - PORTABLE 52531,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552533,POWERSCREEN MID ATLANTIC INC - PORTABLE 52533,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552534,POWERSCREEN MID ATLANTIC INC - PORTABLE 52534,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552535,POWERSCREEN MID ATLANTIC INC - PORTABLE 52535,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552536,POWERSCREEN MID ATLANTIC INC - PORTABLE 52536,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552539,POWERSCREEN MID ATLANTIC INC - PORTABLE 52539,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552540,POWERSCREEN MID ATLANTIC INC - PORTABLE 52540,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552543,POWERSCREEN MID ATLANTIC INC - PORTABLE 52543,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552544,POWERSCREEN MID ATLANTIC INC - PORTABLE 52544,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552545,POWERSCREEN MID ATLANTIC INC - PORTABLE 52545,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552550,POWERSCREEN MID ATLANTIC INC - PORTABLE 52550,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552551,POWERSCREEN MID ATLANTIC INC - PORTABLE 52551,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552552,POWERSCREEN MID ATLANTIC INC - PORTABLE 52552,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552553,POWERSCREEN MID ATLANTIC INC - PORTABLE 52553,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552557,POWERSCREEN MID ATLANTIC INC - PORTABLE 52557,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552558,POWERSCREEN MID ATLANTIC INC - PORTABLE 52558,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552568,POWERSCREEN MID ATLANTIC INC - PORTABLE 52568,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552569,POWERSCREEN MID ATLANTIC INC - PORTABLE 52569,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552584,POWERSCREEN MID ATLANTIC INC - PORTABLE 52584,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552585,POWERSCREEN MID ATLANTIC INC - PORTABLE 52585,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552593,POWERSCREEN MID ATLANTIC INC - PORTABLE 52593,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552596,POWERSCREEN MID ATLANTIC INC - PORTABLE 52596,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552597,POWERSCREEN MID ATLANTIC INC - PORTABLE 52597,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552598,POWERSCREEN MID ATLANTIC INC - PORTABLE 52598,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552599,POWERSCREEN MID ATLANTIC INC - PORTABLE 52599,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552600,POWERSCREEN MID ATLANTIC INC - PORTABLE 52600,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552556,POWERSCREEN MID ATLANTIC INCORPORATED - PORTABLE 52556,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552570,POWERSCREEN MID ATLANTIC INCORPORATED - PORTABLE 52570,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552575,POWERSCREEN MID ATLANTIC INCORPORATED - PORTABLE 52575,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552577,POWERSCREEN MID ATLANTIC INCORPORATED - PORTABLE 52577,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552580,POWERSCREEN MID ATLANTIC INCORPORATED - PORTABLE 52580,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552581,POWERSCREEN MID ATLANTIC INCORPORATED - PORTABLE 52581,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552583,POWERSCREEN MID ATLANTIC INCORPORATED - PORTABLE 52583,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552586,POWERSCREEN MID ATLANTIC INCORPORATED - PORTABLE 52586,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552587,POWERSCREEN MID ATLANTIC INCORPORATED - PORTABLE 52587,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552590,POWERSCREEN MID ATLANTIC INCORPORATED - PORTABLE 52590,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552592,POWERSCREEN MID ATLANTIC INCORPORATED - PORTABLE 52592,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552576,POWERSCREEN MID ATLANTIC INCORPORATED PORTABLE 52576,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552384,POWERSCREEN MID-ATLANTIC INC - PORTABLE 52384,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552523,POWERSCREEN MID-ATLANTIC INC - PORTABLE 52523,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,CLS
VA0000005108552283,THE BLAIR BROS INC - PORTABLE 52283,1 BLAIR BROTHERS RD,SUFFOLK,Suffolk (city),VA,MIN,CLS
VA0000005108552436,THE BLAIR BROS INC - PORTABLE 52436,1 BLAIR BROTHERS RD,SUFFOLK,Suffolk (city),VA,MIN,CLS
VA0000005108552572,THE BLAIR BROS INC - PORTABLE 52572,1474 COPELAND RD,SUFFOLK,Suffolk (city),VA,MIN,CLS
VA0000005108552601,THE BLAIR BROS INC - PORTABLE 52601,1 BLAIR BROTHERS RD,SUFFOLK,Suffolk (city),VA,MIN,CLS
VA0000005108552385,A & A CONTRACTORS LLC - PORTABLE 52385,12301 OLD STAGE RD,CHESTER,Chesterfield,VA,MIN,OPR
VA0000005108552472,ATLANTIC CONTRACTING & MATERIAL CO INC - PORTABLE 52472,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,OPR
VA0000005108552516,ATLANTIC CONTRACTING & MATERIAL CO INC - PORTABLE 52516,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,OPR
VA0000005108552508,ATLANTIC CONTRACTING AND MATERIAL CO INC - PORTABLE 52508,10500 SADISCO DR,ASHLAND,Hanover,VA,MIN,OPR
VA0000005108552566,E J WADE CONSTRUCTION LLC - PORTABLE 52566,5176 COLD HARBOR RD,MECHANICSVILLE,Hanover,VA,MIN,OPR
VA0000005108552567,E J WADE CONSTRUCTION LLC - PORTABLE 52567,5176 COLD HARBOR RD,MECHANICSVILLE,Hanover,VA,MIN,OPR
VA0000005108552378,POWERSCREEN MID ATLANTIC INC - PORTABLE,10400 SADISCO DR,ASHLAND,Hanover,VA,MIN,OPR
VA0000005108552457,SALMONS INC - PORTABLE 52457,3999 VENEER RD,PORTSMOUTH,Portsmouth (city),VA,MIN,OPR
