SOURCE_ID,n_rows,n_violations,n_hpv,n_frv,n_with_ea,n_with_eval,n_in_pipeline,has_penalty,total_penalty,earliest_viol,latest_viol
03000MD00016,2,2,0,0,2,2,2,TRUE,230000,Inf,-Inf
03000PA00013,1,1,0,0,1,1,1,FALSE,0,Inf,-Inf
0400000013057EPA30,1,1,0,0,1,1,1,TRUE,5425,Inf,-Inf
04000EPATNFULLFORC,1,1,0,0,1,1,1,TRUE,525438,Inf,-Inf
06000000350151900,2,2,0,0,2,2,2,FALSE,0,Inf,-Inf
060000003504900001,1,1,0,0,1,1,1,FALSE,0,Inf,-Inf
060000003525176033,1,1,0,0,1,1,1,FALSE,0,Inf,-Inf
060000004806500215,1,1,0,0,1,1,1,FALSE,0,Inf,-Inf
06000000481136E378,1,1,0,0,1,1,1,TRUE,2200,Inf,-Inf
060000004820101902,1,1,0,0,1,1,1,TRUE,31640,Inf,-Inf
06000000482016E007,1,1,0,0,1,1,1,FALSE,0,Inf,-Inf
060000004838902491,6,6,0,0,6,6,6,TRUE,1153218,Inf,-Inf
060000004838902493,5,5,0,0,5,5,5,TRUE,1153218,Inf,-Inf
060004830100085,2,2,0,0,2,2,2,TRUE,412500,Inf,-Inf
080000003805300162,1,1,0,0,1,1,1,TRUE,110000,Inf,-Inf
080000004904701022,1,1,0,0,1,1,1,TRUE,85000,Inf,-Inf
080000004904701023,1,1,0,0,1,1,1,TRUE,39300,Inf,-Inf
080000004904701029,1,1,0,0,1,1,1,FALSE,0,Inf,-Inf
080000004904701039,1,1,0,0,1,1,1,FALSE,0,Inf,-Inf
0900000004013R9831,5,2,5,0,5,0,5,FALSE,0,2002-07-16,2003-12-05
0900000004019R9355,1,1,0,0,1,1,1,FALSE,0,Inf,-Inf
0900000006001R9490,2,1,2,0,2,0,2,FALSE,0,2005-09-11,2005-09-11
0900000006001R9765,2,1,2,0,2,0,2,FALSE,0,2004-09-30,2004-09-30
0900000006001R9992,2,1,2,0,2,0,2,FALSE,0,2006-07-01,2006-07-01
0900000006009R9001,2,1,2,0,2,0,2,FALSE,0,2004-07-08,2004-07-08
0900000006013R9820,1,1,1,0,1,0,1,FALSE,0,2001-09-28,2001-09-28
0900000006017R9806,2,1,2,0,2,0,2,FALSE,0,2003-09-30,2003-09-30
0900000006021R9001,2,1,2,0,2,0,2,FALSE,0,2011-08-01,2011-08-01
0900000006029R9030,2,1,2,0,2,0,2,FALSE,0,2003-09-30,2003-09-30
0900000006037R9054,1,1,1,0,1,0,1,FALSE,0,2004-09-10,2004-09-10
0900000006037R9200,2,1,2,0,2,0,2,FALSE,0,2008-08-08,2008-08-08
0900000006049R9994,1,1,1,0,1,0,1,FALSE,0,2005-02-24,2005-02-24
0900000006055R9680,1,1,1,0,1,0,1,FALSE,0,2000-09-28,2000-09-28
0900000006059R9800,2,1,2,0,2,0,2,FALSE,0,2008-05-11,2008-05-11
0900000006061R9100,2,1,2,0,2,0,2,FALSE,0,2011-02-14,2011-02-14
0900000006065MOR01,1,1,1,0,1,0,1,FALSE,0,2004-06-04,2004-06-04
0900000006067R9668,4,1,4,0,4,0,4,FALSE,0,1999-09-30,1999-09-30
0900000006071R9002,2,1,2,0,2,0,2,FALSE,0,2009-09-21,2009-09-21
0900000006071R9300,2,1,2,0,2,0,2,FALSE,0,2010-09-01,2010-09-01
0900000006071R9400,2,1,2,0,2,0,2,FALSE,0,2010-09-14,2010-09-14
0900000006071R9782,2,1,2,0,2,0,2,FALSE,0,2001-03-30,2001-03-30
0900000006071R9800,3,1,3,0,3,0,3,FALSE,0,2008-03-18,2008-03-18
0900000006081R9998,2,1,2,0,2,0,2,FALSE,0,2007-01-11,2007-01-11
0900000006083R9001,2,1,2,0,2,0,2,FALSE,0,2004-08-18,2004-08-18
0900000006085R9819,2,1,2,0,2,0,2,FALSE,0,2001-09-28,2001-09-28
0900000006085R9995,1,1,1,0,0,0,0,FALSE,0,2008-09-25,2008-09-25
0900000006099R9800,3,1,3,0,3,0,3,FALSE,0,2008-03-18,2008-03-18
0900000006103R9001,2,1,2,0,2,0,2,FALSE,0,2004-10-01,2004-10-01
0900000006109R9001,2,1,2,0,2,0,2,FALSE,0,2009-09-27,2009-09-27
0900000006115R9001,2,1,2,0,2,0,2,FALSE,0,2005-09-21,2005-09-21
0900000015001R9672,2,1,2,0,2,0,2,FALSE,0,1999-09-30,1999-09-30
0900000015001R9999,1,1,1,0,0,0,0,FALSE,0,2011-09-29,2011-09-29
0900000015003R9739,1,1,1,0,1,0,1,FALSE,0,2001-09-28,2001-09-28
0900000015003R9747,1,1,1,0,1,0,1,FALSE,0,2000-09-27,2000-09-27
0900000015003R9859,2,1,2,0,2,0,2,FALSE,0,2002-09-30,2002-09-30
0900000015003R9999,1,1,1,0,0,0,0,FALSE,0,2008-09-05,2008-09-05
0900000032029R9010,2,1,2,0,2,0,2,FALSE,0,2004-09-27,2004-09-27
0900000066001R9100,1,1,1,0,0,0,0,FALSE,0,2010-09-29,2010-09-29
0900000066010R9648,2,1,2,0,2,0,2,FALSE,0,2007-07-12,2007-07-12
09000CA00100001,3,3,0,0,3,3,3,TRUE,825000,Inf,-Inf
AK0000000201000015,2,1,0,2,2,2,2,FALSE,0,2017-10-19,2017-10-19
AK0000000201000025,5,5,0,5,3,5,5,FALSE,0,2017-03-28,2024-09-06
AK0000000201000033,2,2,0,1,0,2,2,FALSE,0,2017-08-28,2017-08-28
AK0000000201300005,25,21,5,11,9,25,25,TRUE,935336,2016-01-04,2026-01-30
AK0000000201300011,14,12,2,10,8,12,14,FALSE,0,2019-02-17,2025-11-24
AK0000000201600002,8,8,0,8,5,8,8,FALSE,0,2017-09-20,2023-04-17
AK0000000201600003,5,5,0,5,4,5,5,FALSE,0,2020-04-14,2025-11-24
AK0000000201600004,3,3,0,3,1,1,3,FALSE,0,2016-09-14,2024-01-29
AK0000000201600008,20,20,0,15,11,19,20,FALSE,0,2016-09-01,2025-12-15
AK0000000201600009,4,4,0,4,3,4,4,FALSE,0,2017-11-22,2025-11-19
AK0000000201600013,1,1,0,1,1,1,1,FALSE,0,2016-09-01,2016-09-01
AK0000000201600016,2,2,0,2,1,2,2,FALSE,0,2023-07-19,2023-09-08
AK0000000201600019,2,2,0,2,2,2,2,FALSE,0,2023-09-13,2023-11-07
AK0000000201600028,3,2,0,2,2,3,3,FALSE,0,2024-02-27,2024-02-27
AK0000000201600029,2,2,0,1,1,2,2,FALSE,0,2017-07-25,2017-07-25
AK0000000202000001,1,1,0,1,1,1,1,FALSE,0,2024-03-28,2024-03-28
AK0000000202000002,4,4,0,4,3,4,4,FALSE,0,2018-07-17,2023-09-29
AK0000000202000022,1,1,0,1,1,1,1,FALSE,0,2023-04-13,2023-04-13
AK0000000202000023,2,2,0,2,1,2,2,FALSE,0,2019-03-13,2020-12-28
AK0000000202000025,5,5,0,4,3,4,5,FALSE,0,2016-06-13,2021-12-02
AK0000000202000031,2,2,0,2,1,2,2,FALSE,0,2019-09-19,2022-07-11
AK0000000202000032,7,7,0,6,2,7,7,FALSE,0,2017-03-13,2023-03-31
AK0000000202000061,1,1,0,1,1,1,1,FALSE,0,2023-05-31,2023-05-31
AK0000000202000070,1,1,0,1,1,1,1,FALSE,0,2017-02-08,2017-02-08
AK0000000202000073,13,12,2,8,6,11,13,TRUE,200000,2016-10-03,2024-05-30
AK0000000202000080,1,1,1,0,1,1,1,FALSE,0,2023-09-20,2023-09-20
AK0000000202000085,5,5,0,3,0,5,5,FALSE,0,2019-10-30,2020-04-16
AK0000000202000093,3,3,0,3,1,3,3,FALSE,0,2018-03-22,2021-08-31
AK0000000205000093,4,3,0,3,2,4,4,FALSE,0,2019-10-30,2024-03-21
AK0000000205000095,1,1,0,1,0,1,1,FALSE,0,2020-12-30,2020-12-30
AK0000000206000004,2,2,0,2,1,2,2,FALSE,0,2016-11-30,2018-12-28
AK0000000206000009,4,4,0,4,1,3,4,FALSE,0,2019-10-29,2020-07-02
AK0000000207000001,6,6,0,6,4,6,6,FALSE,0,2019-05-17,2023-03-01
AK0000000207000010,3,3,0,2,2,3,3,FALSE,0,2017-06-05,2018-01-18
AK0000000207000012,2,2,0,1,0,2,2,FALSE,0,2022-10-20,2022-10-20
AK0000000209000001,16,16,1,14,6,12,16,FALSE,0,2016-09-19,2026-01-30
AK0000000209000002,9,9,1,6,3,8,9,FALSE,0,2018-08-05,2021-10-12
AK0000000209000003,1,1,0,1,1,1,1,FALSE,0,2017-05-23,2017-05-23
AK0000000209000004,6,6,0,6,3,5,6,FALSE,0,2016-08-12,2024-01-05
AK0000000209000007,8,5,5,3,7,8,8,TRUE,19000,2018-10-24,2025-02-04
AK0000000209000011,6,6,0,2,1,5,6,FALSE,0,2016-12-07,2020-05-27
AK0000000209000021,1,1,0,1,0,1,1,FALSE,0,2019-10-25,2019-10-25
AK0000000209000023,1,1,0,1,1,0,1,FALSE,0,2017-09-08,2017-09-08
AK0000000209000081,8,8,0,8,5,8,8,FALSE,0,2017-04-20,2025-05-03
AK0000000209060003,1,1,0,1,1,1,1,FALSE,0,2021-12-27,2021-12-27
AK0000000209060005,1,1,0,1,0,1,1,FALSE,0,2020-04-07,2020-04-07
AK0000000210000002,5,5,1,3,1,5,5,FALSE,0,1999-06-29,2025-09-25
AK0000000210000005,1,1,0,1,1,1,1,FALSE,0,2017-12-05,2017-12-05
AK0000000211000002,1,1,0,1,1,1,1,FALSE,0,2017-11-21,2017-11-21
AK0000000211000003,1,1,0,1,1,1,1,FALSE,0,2017-11-24,2017-11-24
AK0000000211000004,11,10,0,8,4,9,11,FALSE,0,2017-09-07,2021-04-06
AK0000000211000005,4,4,0,3,2,4,4,FALSE,0,2017-09-07,2021-03-12
AK0000000211000007,1,1,0,1,0,0,1,FALSE,0,2019-10-30,2019-10-30
AK0000000211000010,4,4,0,2,1,4,4,FALSE,0,2019-10-05,2020-08-21
AK0000000211000028,6,6,0,6,5,3,6,FALSE,0,2017-04-18,2025-04-24
AK0000000212200003,7,5,3,4,5,6,7,TRUE,591169,2017-07-28,2023-04-24
AK0000000212200006,4,4,0,3,1,4,4,FALSE,0,2021-10-12,2025-06-30
AK0000000212200007,8,6,3,5,7,7,8,TRUE,338985,2016-10-21,2025-04-04
AK0000000212200008,8,8,0,7,5,8,8,FALSE,0,2017-03-30,2022-08-08
AK0000000212200009,10,10,0,8,5,10,10,FALSE,0,2016-12-12,2024-02-29
AK0000000212200010,4,4,0,4,2,4,4,FALSE,0,2017-03-08,2021-08-23
AK0000000212200011,5,5,0,5,4,4,5,FALSE,0,2016-06-09,2025-09-03
AK0000000212200033,1,1,0,1,1,1,1,FALSE,0,2023-04-28,2023-04-28
AK0000000212200037,1,1,0,1,1,0,1,FALSE,0,2016-06-01,2016-06-01
AK0000000212200038,2,2,0,2,2,1,2,FALSE,0,2020-09-28,2022-07-21
AK0000000212200041,3,3,0,3,2,3,3,FALSE,0,2022-01-27,2025-04-04
AK0000000212200043,3,3,0,2,1,3,3,FALSE,0,2017-09-28,2022-08-11
AK0000000212200045,5,5,0,4,2,5,5,FALSE,0,2016-12-13,2024-03-29
AK0000000212200046,7,7,0,4,3,6,7,FALSE,0,2017-09-12,2019-07-01
AK0000000212200054,1,1,0,1,1,0,1,FALSE,0,2019-01-30,2019-01-30
AK0000000212200060,1,1,0,1,0,1,1,FALSE,0,2019-06-19,2019-06-19
AK0000000212200061,1,1,0,1,1,1,1,FALSE,0,2016-12-08,2016-12-08
AK0000000212200062,2,2,0,2,1,2,2,FALSE,0,2017-03-16,2022-06-28
AK0000000212200066,81,81,1,80,29,78,81,FALSE,0,2006-11-05,2026-02-13
AK0000000212200067,4,4,0,4,1,4,4,FALSE,0,2018-03-23,2023-06-28
AK0000000212200069,6,6,0,5,2,5,6,FALSE,0,2016-06-27,2025-09-04
AK0000000212200073,4,4,0,4,2,4,4,FALSE,0,2017-06-29,2019-06-14
AK0000000212200075,1,1,0,1,1,1,1,FALSE,0,2016-11-23,2016-11-23
AK0000000212200090,3,3,0,3,2,3,3,FALSE,0,2021-09-10,2024-06-06
AK0000000212200104,7,7,0,5,3,6,7,FALSE,0,2019-06-14,2025-05-23
AK0000000212200109,4,4,1,3,2,4,4,FALSE,0,2021-12-10,2024-03-20
AK0000000212200111,2,2,0,2,2,2,2,FALSE,0,2022-06-14,2023-09-12
AK0000000212200114,12,10,0,7,5,12,12,TRUE,25965,2017-03-20,2023-03-02
AK0000000212290002,1,1,0,1,1,1,1,FALSE,0,2021-07-13,2021-07-13
AK0000000212290003,4,2,3,1,4,4,4,TRUE,4971,2016-07-25,2018-02-08
AK0000000213000018,3,3,0,2,2,3,3,FALSE,0,2020-06-29,2022-02-07
AK0000000213000026,6,5,0,4,4,6,6,FALSE,0,2017-10-09,2022-04-27
AK0000000213000028,1,1,0,1,0,1,1,FALSE,0,2019-10-30,2019-10-30
AK0000000216400003,1,1,0,1,1,1,1,FALSE,0,2020-09-08,2020-09-08
AK0000000216400004,2,2,0,2,0,2,2,FALSE,0,2019-10-30,2020-01-08
AK0000000217000005,3,2,0,3,3,3,3,FALSE,0,2019-04-09,2022-11-29
AK0000000217000011,2,2,0,2,2,2,2,FALSE,0,2016-07-28,2016-08-05
AK0000000218500002,5,5,0,4,2,5,5,FALSE,0,2017-09-29,2022-02-23
AK0000000218500003,4,4,0,4,3,4,4,FALSE,0,2019-02-25,2021-10-05
AK0000000218500004,2,2,0,2,2,2,2,FALSE,0,2017-03-23,2018-11-08
AK0000000218500005,2,2,0,2,2,2,2,FALSE,0,2016-12-09,2021-04-06
AK0000000218500006,3,3,0,3,2,3,3,FALSE,0,2018-12-07,2022-05-05
AK0000000218500007,2,2,0,2,0,2,2,FALSE,0,2021-02-09,2021-12-30
AK0000000218500008,1,1,0,1,0,1,1,FALSE,0,2024-05-02,2024-05-02
AK0000000218500014,1,1,0,1,1,1,1,FALSE,0,2020-09-30,2020-09-30
AK0000000218500015,1,1,0,1,1,1,1,FALSE,0,2024-07-26,2024-07-26
AK0000000218500017,10,10,0,9,5,10,10,FALSE,0,2017-06-29,2022-12-09
AK0000000218500018,1,1,0,1,0,1,1,FALSE,0,2021-04-05,2021-04-05
AK0000000218500022,4,4,0,3,1,4,4,FALSE,0,2018-12-17,2024-09-23
AK0000000218500031,4,4,0,4,0,4,4,FALSE,0,2019-06-20,2025-03-20
AK0000000218500050,19,18,2,12,13,19,19,TRUE,141597,2016-12-31,2025-03-10
AK0000000218500054,6,6,2,4,2,6,6,FALSE,0,2000-09-07,2023-06-23
AK0000000218500071,15,15,0,14,4,15,15,FALSE,0,2018-05-10,2022-03-15
AK0000000218500072,1,1,0,1,0,1,1,FALSE,0,2016-12-15,2016-12-15
AK0000000218500075,1,1,0,1,0,1,1,FALSE,0,2020-10-06,2020-10-06
AK0000000218500086,4,4,0,4,4,4,4,FALSE,0,2019-04-22,2025-09-30
AK0000000218500093,3,3,0,3,2,3,3,FALSE,0,2018-10-08,2025-06-17
AK0000000218500096,1,1,0,1,1,1,1,FALSE,0,2017-05-03,2017-05-03
AK0000000218500102,4,2,3,0,3,4,4,FALSE,0,2026-01-30,2026-01-30
AK0000000218500104,3,3,0,2,1,2,3,FALSE,0,2017-08-30,2018-10-02
AK0000000218500105,3,3,0,3,1,3,3,FALSE,0,2018-10-04,2021-07-13
AK0000000218500115,1,1,0,1,0,1,1,FALSE,0,2019-10-30,2019-10-30
AK0000000218500122,3,3,0,2,2,3,3,FALSE,0,2018-12-14,2019-03-14
AK0000000218500134,3,3,0,2,1,3,3,FALSE,0,2017-09-21,2019-10-30
AK0000000218500144,8,8,0,4,2,8,8,FALSE,0,2020-04-08,2024-11-21
AK0000000218530001,8,8,0,6,2,8,8,FALSE,0,2018-03-16,2022-03-10
AK0000000218560002,6,6,0,5,3,6,6,FALSE,0,2017-08-18,2022-08-26
AK0000000218560004,3,3,0,3,2,3,3,FALSE,0,2016-11-29,2020-05-27
AK0000000218560010,2,2,0,1,0,2,2,FALSE,0,2021-04-28,2021-04-28
AK0000000218560012,4,4,0,4,0,2,4,FALSE,0,2016-06-25,2023-01-04
AK0000000218590004,4,4,0,3,1,4,4,FALSE,0,2019-08-23,2025-09-18
AK0000000218590009,4,4,0,4,1,4,4,FALSE,0,2016-10-21,2022-06-15
AK0000000218590012,10,10,0,6,4,10,10,FALSE,0,2017-03-10,2020-07-07
AK0000000218590017,1,1,0,1,0,1,1,FALSE,0,2018-01-23,2018-01-23
AK0000000218590018,4,4,0,4,2,4,4,FALSE,0,2019-04-03,2025-09-21
AK0000000218800002,36,34,5,22,13,36,36,TRUE,325555,2017-06-07,2023-02-21
AK0000000218800003,16,16,1,10,2,16,16,FALSE,0,2018-05-03,2023-02-21
AK0000000223100010,4,4,0,4,4,2,4,FALSE,0,2017-09-08,2024-12-31
AK0000000223200001,2,2,0,1,1,2,2,FALSE,0,2020-10-28,2020-10-28
AK0000000223200004,1,1,0,1,0,1,1,FALSE,0,2019-10-30,2019-10-30
AK0000000224000002,1,1,0,1,1,1,1,FALSE,0,2019-08-01,2019-08-01
AK0000000224000004,5,5,0,2,2,5,5,FALSE,0,2023-01-25,2024-04-24
AK0000000224000006,3,3,0,2,1,3,3,FALSE,0,2019-03-13,2022-09-01
AK0000000224000008,4,4,0,4,1,4,4,FALSE,0,2017-05-20,2024-09-16
AK0000000224000012,2,2,0,1,1,2,2,FALSE,0,2019-04-15,2019-04-15
AK0000000226100019,3,3,0,3,0,3,3,FALSE,0,2018-06-20,2021-09-28
AK0000000226100020,9,9,0,9,7,9,9,FALSE,0,2020-05-19,2025-12-22
AK0000000226100030,2,2,0,2,2,2,2,FALSE,0,2019-12-04,2023-01-19
AK0000000226100031,2,2,0,2,1,2,2,FALSE,0,2021-02-01,2025-09-24
AK0000000226100032,2,2,0,2,1,1,2,FALSE,0,2018-01-09,2023-08-17
AK0000000228000001,1,1,0,1,0,1,1,FALSE,0,2019-10-30,2019-10-30
AK0000000229000002,12,12,1,10,4,11,12,FALSE,0,2016-06-23,2025-05-13
AK0000000229000003,6,6,0,4,1,6,6,FALSE,0,2020-03-01,2023-11-24
AK0000000229000004,3,3,0,2,1,3,3,FALSE,0,2017-06-05,2019-08-01
AK0000000229000053,4,4,0,4,2,3,4,FALSE,0,2017-05-31,2020-12-21
AK0000000229000065,2,2,0,1,1,2,2,FALSE,0,2018-02-07,2018-02-07
AK0000000229000068,2,2,0,1,0,2,2,FALSE,0,2019-12-31,2019-12-31
AK0000000229000069,2,2,0,2,1,2,2,FALSE,0,2018-05-29,2018-06-26
AK0000000229000070,14,10,5,1,5,14,14,FALSE,0,2017-12-04,2021-09-30
AK0000000229060003,2,2,0,2,2,2,2,FALSE,0,2017-06-06,2024-12-10
AK0000000277700078,5,5,0,3,0,5,5,FALSE,0,2019-06-04,2020-10-28
AK0000000277700100,2,2,0,1,1,2,2,FALSE,0,2019-12-04,2019-12-04
AK0000000277790115,1,1,0,1,1,0,1,FALSE,0,2017-09-07,2017-09-07
AK0000000277790128,1,1,0,1,0,1,1,FALSE,0,2020-06-29,2020-06-29
AK0000000277790521,2,2,0,2,2,2,2,FALSE,0,2023-05-12,2023-05-17
AL0000000100100001,1,1,1,0,1,1,1,TRUE,15000,2023-01-12,2023-01-12
AL0000000100300048,4,3,0,4,4,4,4,TRUE,15000,2022-08-01,2024-03-08
AL0000000100500013,1,1,0,1,1,1,1,FALSE,0,2025-09-22,2025-09-22
AL000000010050S008,2,1,0,2,2,2,2,TRUE,20000,2019-01-23,2019-01-23
AL0000000100700001,2,1,0,2,2,2,2,TRUE,6000,2019-01-24,2019-01-24
AL000000010130S001,3,2,0,3,3,1,3,TRUE,20000,2017-01-10,2017-06-13
AL0000000101500005,3,3,0,2,2,3,3,FALSE,0,2021-07-30,2024-03-13
AL0000000101500007,2,1,2,0,2,2,2,TRUE,20000,2023-04-12,2023-04-12
AL0000000101500009,1,1,0,1,1,0,1,FALSE,0,2019-03-12,2019-03-12
AL0000000101500038,1,1,0,1,1,1,1,FALSE,0,2017-08-30,2017-08-30
AL0000000101500039,1,1,0,1,1,1,1,FALSE,0,2021-03-01,2021-03-01
AL0000000101500079,14,8,9,4,13,12,14,TRUE,891000,2016-06-13,2025-06-05
AL0000000101500095,1,1,0,1,1,1,1,FALSE,0,2025-06-26,2025-06-26
AL0000000101700011,5,4,2,1,3,5,5,TRUE,160000,2022-07-13,2023-12-13
AL0000000101700018,6,5,0,4,4,6,6,TRUE,160000,2023-08-25,2025-04-29
AL000000010170S003,2,1,0,2,2,2,2,TRUE,20000,2024-07-08,2024-07-08
AL0000000101900001,1,1,0,1,1,1,1,FALSE,0,2022-04-13,2022-04-13
AL0000000102100002,1,1,0,1,1,1,1,FALSE,0,2017-08-31,2017-08-31
AL0000000102100017,2,1,2,0,2,2,2,TRUE,35000,2022-01-04,2022-01-04
AL0000000102300001,5,4,3,1,4,5,5,TRUE,130000,2019-03-24,2024-09-27
AL0000000102300019,2,1,0,2,2,2,2,TRUE,30000,2023-09-11,2023-09-11
AL0000000102500014,1,1,0,1,1,1,1,FALSE,0,2025-07-14,2025-07-14
AL0000000102500017,1,1,0,1,1,1,1,FALSE,0,2020-01-23,2020-01-23
AL000000010250S003,6,3,2,4,6,6,6,TRUE,130000,2018-02-20,2021-02-16
AL000000010250S004,2,1,2,0,2,2,2,TRUE,100000,2022-03-24,2022-03-24
AL000000010250S006,1,1,0,1,1,1,1,FALSE,0,2017-06-13,2017-06-13
AL000000010250S012,2,1,0,2,2,0,2,TRUE,12000,2016-08-18,2016-08-18
AL0000000103100017,3,2,2,1,3,3,3,TRUE,80000,2024-07-01,2025-08-08
AL0000000103300002,2,1,0,2,2,2,2,TRUE,12000,2018-06-25,2018-06-25
AL0000000103300006,1,1,1,0,0,0,0,FALSE,0,2005-11-01,2005-11-01
AL0000000103300007,14,12,4,5,8,13,14,TRUE,315000,2005-11-01,2023-10-02
AL0000000103300010,1,1,1,0,0,0,0,FALSE,0,1999-12-03,1999-12-03
AL0000000103300013,1,1,0,1,1,1,1,FALSE,0,2024-05-22,2024-05-22
AL0000000103300062,4,2,0,4,4,4,4,TRUE,40000,2021-09-22,2022-09-16
AL000000010330S001,1,1,0,1,1,1,1,FALSE,0,2016-08-08,2016-08-08
AL0000000103500011,2,1,0,2,2,2,2,TRUE,40000,2020-11-30,2020-11-30
AL0000000103500021,2,1,0,2,2,2,2,TRUE,25000,2019-12-05,2019-12-05
AL0000000103500026,2,1,0,2,2,2,2,TRUE,25000,2019-12-05,2019-12-05
AL0000000103500029,1,1,0,1,1,1,1,FALSE,0,2019-06-14,2019-06-14
AL0000000103500042,2,1,0,2,2,2,2,TRUE,20000,2024-11-26,2024-11-26
AL0000000103700015,2,1,0,2,2,2,2,TRUE,6000,2022-12-14,2022-12-14
AL0000000103900027,1,1,0,1,1,1,1,FALSE,0,2017-07-05,2017-07-05
AL0000000104700001,1,1,0,1,1,1,1,FALSE,0,2022-12-16,2022-12-16
AL0000000104700003,10,7,3,6,9,10,10,TRUE,310000,2021-02-01,2025-11-03
AL0000000104700005,3,3,0,2,2,3,3,FALSE,0,2024-11-20,2025-08-11
AL0000000104900041,5,4,0,4,4,5,5,TRUE,40000,2019-07-01,2026-01-12
AL0000000104900048,2,1,2,0,2,2,2,TRUE,12000,2019-11-05,2019-11-05
AL0000000104900050,2,1,0,2,2,2,2,TRUE,15000,2022-09-19,2022-09-19
AL0000000105100006,2,2,0,1,1,2,2,FALSE,0,2019-06-21,2019-06-21
AL0000000105300001,1,1,1,0,1,1,1,TRUE,80000,2016-11-18,2016-11-18
AL0000000105300007,6,4,2,4,6,6,6,TRUE,200000,2021-03-01,2023-05-08
AL0000000105300011,4,2,4,0,4,4,4,TRUE,210000,2020-10-30,2022-06-15
AL0000000105300099,2,2,0,2,2,2,2,FALSE,0,2018-11-06,2019-12-09
AL000000010530S002,2,2,0,2,2,2,2,FALSE,0,2017-06-13,2019-11-06
AL0000000105500026,1,1,0,1,1,1,1,FALSE,0,2023-04-12,2023-04-12
AL0000000105500027,1,1,0,1,1,0,1,TRUE,10000,2016-07-20,2016-07-20
AL0000000105900013,2,1,2,0,2,2,2,TRUE,40000,2018-12-20,2018-12-20
AL0000000105900027,1,1,0,1,1,1,1,FALSE,0,2018-08-16,2018-08-16
AL0000000106300001,1,1,1,0,0,0,0,FALSE,0,1999-04-13,1999-04-13
AL0000000106900021,1,1,0,1,1,1,1,TRUE,19500,2021-12-13,2021-12-13
AL0000000106900028,1,1,0,1,1,1,1,FALSE,0,2019-08-02,2019-08-02
AL0000000106900046,2,1,0,2,2,2,2,TRUE,50000,2023-12-04,2023-12-04
AL0000000107100008,1,1,1,0,0,0,0,FALSE,0,1999-12-03,1999-12-03
AL0000000107100030,2,1,0,2,2,2,2,TRUE,35000,2020-11-06,2020-11-06
AL0000000107100041,1,1,0,1,1,1,1,FALSE,0,2024-01-18,2024-01-18
